name,uses,side_effects,dosage,precautions
paracetamol,Fever and pain relief,Nausea,500mg,Do not overdose
ibuprofen,Pain and inflammation,Stomach irritation,200mg,Take after food
amoxicillin,Bacterial infections,Rash,500mg,Complete full course
cetirizine,Allergy relief,Drowsiness,10mg,Avoid alcohol
aspirin,Pain relief,Bleeding risk,75mg,Not for children
metformin,Type 2 diabetes management,Nausea or diarrhea,850mg,Take with meals
atorvastatin,High cholesterol control,Muscle pain,10mg,Avoid grapefruit juice
omeprazole,Acid reflux and GERD,Headache or stomach pain,20mg,Take 30 minutes before first meal
albuterol,Asthma bronchospasm relief,Tremors or fast heart rate,2 puffs,Inhale as directed by doctor
amlodipine,High blood pressure (hypertension),Swelling in ankles,5mg,Monitor blood pressure regularly
gabapentin,Nerve pain and seizures,Dizziness or sleepiness,300mg,Do not stop abruptly
lisinopril,High blood pressure and heart failure,Dry cough,10mg,Drink plenty of water
levothyroxine,Hypothyroidism treatment,Insomnia or palpitations,50mcg,Take on empty stomach 30 mins before breakfast
losartan,High blood pressure management,Dizziness or fatigue,50mg,Avoid potassium supplements
alprazolam,Anxiety and panic disorders,Drowsiness,0.25mg,May be habit-forming
azithromycin,Bacterial infections,Diarrhea or nausea,500mg then 250mg,Complete full course of antibiotics
diphenhydramine,Allergic reactions and insomnia,Dry mouth or drowsiness,25mg,Avoid driving after use
